subj_id,inclusion,block,trial,task,alpha,angle_sigma,orientation,stimulus,response,accuracy,response_time,confidence,increase_presses,decrease_presses,BOLD_rTPJ,BOLD_pMFC,BOLD_FPm,BOLD_FPl,BOLD_preSMA,BOLD_vmPFC
01LeEm,0,2,207,Discrimination,0.0477987293703271,7.01486765864282,45,1,1,1,0.717448000000331,6,4,0,NaN,NaN,NaN,NaN,NaN,NaN
01LeEm,0,2,208,Discrimination,0.0477987293703271,7.01486765864282,45,1,1,1,0.750339299999723,6,1,0,NaN,NaN,NaN,NaN,NaN,NaN
01LeEm,0,2,209,Discrimination,0.0477987293703271,7.01486765864282,45,1,1,1,0.931806599999618,6,3,0,NaN,NaN,NaN,NaN,NaN,NaN
01LeEm,0,2,210,Discrimination,0.0477987293703271,7.01486765864282,45,1,0,0,1.1847216999995,6,0,0,NaN,NaN,NaN,NaN,NaN,NaN
01LeEm,0,2,211,Discrimination,0.0477987293703271,7.01486765864282,-45,0,1,0,0.883626699999695,6,3,0,NaN,NaN,NaN,NaN,NaN,NaN
01LeEm,0,2,212,Discrimination,0.0477987293703271,7.01486765864282,45,1,1,1,0.766190000000279,6,5,0,NaN,NaN,NaN,NaN,NaN,NaN
01LeEm,0,2,213,Discrimination,0.0477987293703271,7.01486765864282,-45,0,0,1,0.816438500000004,5,0,1,NaN,NaN,NaN,NaN,NaN,NaN
01LeEm,0,2,214,Discrimination,0.0477987293703271,7.01486765864282,-45,0,0,1,1.30019730000004,4,1,2,NaN,NaN,NaN,NaN,NaN,NaN
01LeEm,0,2,215,Discrimination,0.0477987293703271,7.01486765864282,-45,0,1,0,1.1000124000002,6,4,0,NaN,NaN,NaN,NaN,NaN,NaN
01LeEm,0,2,216,Discrimination,0.0477987293703271,7.01486765864282,-45,0,0,1,0.783730699999978,6,4,0,NaN,NaN,NaN,NaN,NaN,NaN
01LeEm,0,2,217,Discrimination,0.0477987293703271,7.01486765864282,45,1,1,1,0.78290939999988,6,9,0,NaN,NaN,NaN,NaN,NaN,NaN
