tiltAUC,verticalAUC,yesAUC,noAUC,clockwiseAUC,anticlockwiseAUC
0.903100775193798,0.479411764705882,0.634210526315789,0.702839756592292,0.898333333333333,0.816326530612245
0.915032679738562,0.494444444444444,0.888571428571429,0.823484848484848,0.767241379310345,0.606312292358804
0.850427350427351,0.639498432601881,0.644230769230769,0.546296296296296,0.596798780487805,0.498366013071895
0.924444444444444,0.767857142857143,0.759615384615385,0.533529411764706,0.618181818181818,0.604166666666667
0.928030303030303,0.529040404040404,0.817073170731707,0.5,0.780434782608695,0.40990990990991
0.827147401908802,0.506944444444444,0.685328185328185,0.537545787545788,0.864253393665158,0.75
0.784391534391534,0.48781838316722,0.638461538461538,0.61,0.640769230769231,0.716565349544073
0.904591104734577,0.572827417380661,0.664596273291925,0.659863945578231,0.723076923076923,0.748
0.781666666666667,0.498405103668262,0.813725490196078,0.573404255319149,0.590811965811966,0.669133192389006
0.986111111111111,0.674426229508197,0.608455882352941,0.450457317073171,0.638211382113821,0.638888888888889
0.930851063829787,0.579393939393939,0.839795918367347,0.623481781376518,0.77734375,0.790650406504065
0.64859693877551,0.738095238095238,0.717687074829932,0.555347091932458,0.849420849420849,0.59391771019678
0.8625,0.570054945054945,0.551282051282051,0.620676100628931,0.569230769230769,0.607038123167155
0.94921875,0.59625,0.849206349206349,0.638888888888889,0.7359375,0.708
0.860576923076923,0.592032967032967,0.747126436781609,0.646458583433373,0.514778325123153,0.657253599114064
0.862762237762238,0.430588235294118,0.748414376321353,0.673745173745174,0.586538461538461,0.794466403162055
0.9,0.567073170731707,0.79375,0.621428571428571,0.752450980392157,0.716239316239316
0.83203125,0.432412790697674,0.899641577060932,0.609126984126984,0.399390243902439,0.685185185185185
0.948,0.586700336700337,0.78,0.77051282051282,0.708024691358025,0.696739130434783
0.741666666666667,0.604166666666667,0.649774774774775,0.587962962962963,0.39,0.671150278293135
0.915555555555556,0.603021978021978,0.7875,0.534632034632035,0.439814814814815,0.781376518218624
0.760526315789474,0.610014619883041,0.63768115942029,0.589285714285714,0.59349593495935,0.774305555555556
0.355555555555556,0.593721144967682,0.700193423597679,0.541287878787879,0.803240740740741,0.629426129426129
0.704545454545455,0.500507099391481,0.790277777777778,0.514437689969605,0.744791666666667,0.473214285714286
0.757352941176471,0.655667144906743,0.601004464285714,0.559659090909091,0.649275362318841,0.784353741496599
